date,fund_growth,benchmark_growth,fund_minus_benchmark
2023-08-10,506.50628758884636,274.1041053122129,232.40218227663348
2023-08-14,517.2772006560963,269.98385219783654,247.29334845825974
2023-08-15,529.6883542919628,270.4175788163388,259.270775475624
2023-08-16,535.975943138327,269.008042186904,266.967900951423
2023-08-17,523.1820667031164,270.2007243165815,252.98134238653495
2023-08-21,540.5686167304539,266.7310523204647,273.83756440998917
2023-08-22,546.0907599781301,268.8996149370253,277.1911450411048
2023-08-23,559.212684527064,270.74286056597475,288.4698239610892
2023-08-24,537.5068343357026,275.405214691769,262.1016196439336
2023-08-28,540.2405686167305,271.82713306476126,268.4134355519692
2023-08-29,545.7627118644068,273.34509694407467,272.41761492033214
2023-08-30,544.4505194095134,274.53781431172746,269.91270509778593
2023-08-31,534.7184253690541,272.5861061949241,262.13231917413
2023-09-04,545.1066156369601,274.8630960613634,270.2435195755967
2023-09-05,550.5740841990158,274.2125149431039,276.36156925591195
2023-09-06,545.872061235648,273.2367049321713,272.63535630347667
2023-09-07,537.944231820667,270.74286056597475,267.2013712546923
2023-09-11,522.3619464188081,268.46590593751074,253.89604048129735
2023-09-12,531.6566429743029,271.17658718447694,260.480055789826
2023-09-13,546.3094587206124,271.5018689341129,274.8075897864995
2023-09-14,544.6692181519957,275.2968226798656,269.37239547213005
2023-09-18,522.3619464188081,273.2367049321713,249.1252414866368
2023-09-19,516.7851284855112,272.04398756451855,244.74114092099268
2023-09-20,506.8890103881903,270.52600606621746,236.36300432197282
2023-09-21,522.1432476763259,266.18889845208383,255.9543492242421
2023-09-25,525.3143794423182,267.9237344501422,257.390644992176
2023-09-26,530.0710770913067,264.7793442036614,265.2917328876453
2023-09-27,538.1629305631493,264.8877890725277,273.2751414906216
2023-10-02,549.4259158009842,269.44175118641857,279.9841646145656
2023-10-03,549.8633132859486,267.8153248192512,282.0479884666974
2023-10-04,555.7681793329689,264.34567044212207,291.4225088908468
2023-10-05,556.9163477310005,268.1406241878748,288.77572354312576
2023-10-11,562.8758884636413,273.7788235625769,289.0970649010644
2023-10-12,559.1580098414435,276.05581342901615,283.1021964124273
2023-10-16,546.9108802624385,273.7788235625769,273.13205669986155
2023-10-17,528.7042099507928,274.42940468083646,254.27480526995635
2023-10-18,537.342810278841,270.63445093508375,266.7083593437572
2023-10-19,535.4291962821214,270.74286056597475,264.6863357161467
2023-10-23,535.1558228540187,268.57431556840174,266.5815072856169
2023-10-24,536.3586659376709,268.7911524491714,267.5675134884995
2023-10-25,516.1837069436851,269.3332886985647,246.85041824512047
2023-10-26,518.4800437397486,264.0203710734985,254.45967266625007
2023-10-30,506.28758884636414,264.56250732289175,241.7250815234724
2023-10-31,512.5751776927283,262.7192616939423,249.85591599878597
2023-11-01,530.289775833789,264.0203710734985,266.2694047602905
2023-11-02,532.0393657736469,269.98385219783654,262.0555135758103
2023-11-06,545.2706396938217,274.42940468083646,270.8412350129853
2023-11-07,551.9956260251504,274.32095981197017,277.6746662131802
2023-11-08,557.7364680153089,275.83894131027125,281.89752670503765
2023-11-09,552.3236741388737,275.9473685601499,276.37630557872376
2023-11-13,564.8441771459815,279.0917588066307,285.75241833935075
2023-11-14,559.1580098414435,279.742304686915,279.41570515452844
2023-11-15,559.9781301257518,283.10356705214076,276.87456307361106
2023-11-16,567.4685620557682,283.2119943020194,284.2565677537488
2023-11-20,570.9130672498634,283.9710026701576,286.9420645797058
2023-11-21,569.218151995626,287.4407099042496,281.77744209137643
2023-11-22,561.563696008748,284.83840305019913,276.7252929585489
2023-11-23,558.2832148715145,284.7299758003205,273.55323907119396
2023-11-27,558.5565882996173,282.6698756716138,275.88671262800347
2023-11-28,564.516129032258,284.6215837884171,279.8945452438409
2023-11-29,570.1476216511755,284.4046764316969,285.74294521947866
2023-11-30,567.359212684527,284.83840305019913,282.5208096343279
2023-12-04,562.3291416074358,284.7299758003205,277.59916580711524
