index,date,strategy_equity,benchmark_equity
291,2017-08-08,149.38029258945403,137.22070001933096
292,2017-08-09,147.57159846188037,135.97928085786592
293,2017-08-10,145.10407491280984,135.06891900037652
294,2017-08-11,146.0767893338561,134.48951467571288
295,2017-08-14,145.03796626965465,133.66192130134866
296,2017-08-15,146.9476351053136,134.5723247301505
297,2017-08-16,146.8182610128621,134.075722145662
298,2017-08-17,149.27268120547254,135.15164591218922
299,2017-08-18,148.2246803808603,134.3240275950375
300,2017-08-21,147.864590120536,134.15849894304966
301,2017-08-22,149.30304030708064,135.4826782733774
302,2017-08-23,150.1451877050183,135.31717456417704
303,2017-08-24,150.97602901084508,136.64137052302976
304,2017-08-25,151.47326556002574,136.88965102961777
305,2017-08-28,152.1699032350243,136.64137052302976
306,2017-08-29,151.91431910062232,136.22756136445392
307,2017-08-30,152.83645140971134,136.8896510296178
308,2017-08-31,153.5695893322167,137.30347681671864
309,2017-09-01,154.26353792104172,137.3862536141063
310,2017-09-04,153.86576528750462,137.1379398504683
311,2017-09-05,154.84189609445545,137.30347681671864
312,2017-09-06,154.0378489590222,136.72413900615496
313,2017-09-07,153.44058373953456,136.14481782411625
314,2017-09-08,155.1639036716142,136.8896510296178
315,2017-09-11,154.03382519423857,136.6413705230298
316,2017-09-12,154.2965458451146,137.1379398504683
317,2017-09-13,153.2246730178129,136.22756136445395
318,2017-09-14,153.70682807079066,136.3103132190541
319,2017-09-15,154.11778073450313,136.3103132190541
320,2017-09-18,155.46861986249584,137.6345258064318
321,2017-09-19,154.48268938036472,136.97241951274296
322,2017-09-20,154.35921576413313,136.06200776967862
323,2017-09-21,155.89925609691045,136.8896510296178
324,2017-09-22,153.95589327399776,135.06891900037652
325,2017-09-25,152.69056824468464,133.99297029106185
326,2017-09-26,151.2846679138317,132.91706315305964
327,2017-09-27,152.02696788117186,133.57913618969852
328,2017-09-28,152.35902786549843,133.0825585479975
329,2017-09-29,152.60801417900714,133.49637602083587
330,2017-10-02,154.6892273696261,134.90334046281373
331,2017-10-03,154.7503234710162,134.90334046281373
332,2017-10-05,154.92242752188287,135.48267827337742
333,2017-10-06,154.9037870469009,135.89649574621578
334,2017-10-11,155.3471546987977,138.04834327927017
335,2017-10-12,156.63020819262502,139.37258080943536
336,2017-10-13,156.68541247668296,139.12422547448492
337,2017-10-16,158.04842038954467,139.86912519408642
338,2017-10-17,157.19523626375909,139.53806789011077
339,2017-10-18,156.87279405267623,140.03466216033678
340,2017-10-19,157.0817477010454,140.5312231735128
341,2017-10-20,156.51143978693491,139.95188536294913
342,2017-10-23,156.7273322207168,139.86912519408645
343,2017-10-24,157.1448434744865,139.70358822783612
344,2017-10-25,156.97011362744743,139.62081143044847
345,2017-10-26,157.12720189000908,139.45530772124812
346,2017-10-27,155.99470539810068,139.5380678901108
347,2017-10-30,155.42009788636176,140.61393345680054
348,2017-10-31,156.65594701291187,141.02778418668888
349,2017-11-01,156.70288281274333,140.86228047748853
350,2017-11-02,156.68367403938436,140.36573609283747
351,2017-11-03,157.35037581757683,140.20018249806216
352,2017-11-06,156.9311974495394,140.44849626170017
353,2017-11-07,156.8367080403934,141.19328789588926
354,2017-11-08,156.71000954928158,140.6139334568006
355,2017-11-09,156.65433902049867,139.7035882278362
356,2017-11-10,156.24152390627725,139.9518853629492
357,2017-11-13,155.0577991235863,139.53806789011088
358,2017-11-14,155.2784911048695,139.28979569778537
359,2017-11-15,153.77726786942236,137.8828146272825
360,2017-11-16,153.6908819643351,138.37940058324602
361,2017-11-17,155.1275089952492,139.62081143044858
362,2017-11-20,154.8004685952836,139.04152350545985
363,2017-11-21,156.30506703358344,140.28290940987492
364,2017-11-22,157.297753466628,140.94507390340124
365,2017-11-23,157.58948041053628,141.02778418668893
366,2017-11-24,156.88423634868676,140.94507390340124
367,2017-11-27,156.68972216948865,139.28979569778537
368,2017-11-28,156.01565907137044,138.37940058324602
369,2017-11-29,156.6079302433934,138.54492923523387
370,2017-11-30,154.97321805518456,136.14481782411644
371,2017-12-01,154.69126215035658,136.72413900615516
372,2017-12-04,155.27823196243273,137.2207000193312
373,2017-12-05,154.2588645244519,136.14481782411644
374,2017-12-06,150.4978615830859,133.82745826759918
375,2017-12-07,150.40335155708578,133.91023506498684
376,2017-12-08,151.3073147033928,133.91023506498684
377,2017-12-11,152.9884613463722,134.9033404628139
378,2017-12-12,153.04459474002678,133.99297029106202
379,2017-12-13,152.89944256938372,134.07572214566218
380,2017-12-14,153.25646386469668,135.3171745641772
381,2017-12-15,152.84444543773805,134.24122585486253
382,2017-12-18,152.61660242486457,134.40678776390035
383,2017-12-19,152.54946419553352,133.74464821316153
384,2017-12-20,154.31940475515356,134.15849894304984
385,2017-12-21,154.2320026817009,134.07572214566218
386,2017-12-22,154.0697160291468,134.57232473015068
387,2017-12-25,152.84257432146984,134.8205886082137
388,2017-12-26,150.34101341607783,133.496376020836
389,2017-12-27,150.8924255398542,133.91023506498684
390,2017-12-28,153.7875040531514,135.23438113826458
391,2017-12-29,154.34563353968056,135.97928085786606
392,2018-01-02,156.41818380077837,136.72413900615507
393,2018-01-03,158.28440341676202,137.96556648188263
394,2018-01-04,160.74097603836174,138.21385530273315
395,2018-01-05,160.56331254991227,138.62767277557148
396,2018-01-08,160.26259850055595,139.20703552892263
397,2018-01-09,159.23941210840718,139.2897956977853
398,2018-01-10,156.36073579185276,138.62767277557148
399,2018-01-11,155.9856791911598,138.04834327927028
400,2018-01-12,157.9825413977726,139.20703552892266
401,2018-01-15,158.83190616331396,140.11738907214956
402,2018-01-16,159.21300578707613,140.69674351123822
403,2018-01-17,158.42703830123696,140.9450739034012
404,2018-01-18,159.91514031597748,142.84859104429262
405,2018-01-19,160.2468042127297,144.25553054348302
406,2018-01-22,162.43251030887987,145.57975975938572
407,2018-01-23,162.4724408943549,146.15908094142443
408,2018-01-24,162.32019385826908,144.33832396939567
409,2018-01-25,161.86480984476648,144.75210818518403
410,2018-01-26,162.19261414745665,144.83490161109668
411,2018-01-29,163.7445547346921,145.259361339927
412,2018-01-30,161.92178219557786,143.56143928198074
413,2018-01-31,162.28739587285708,143.73123315062784
414,2018-02-01,163.05276277529717,144.7499797339856
415,2018-02-02,162.4611339060866,144.15570950798318
416,2018-02-05,159.49016273141555,141.94840584409553
417,2018-02-06,150.4559188771285,135.24147320417168
418,2018-02-07,152.61979061880874,136.93943683343042
